Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd
24,76,*,*,*,*,*,*,*,*,*,*,*,*
24,78,*,*,*,*,*,*,*,*,*,*,*,*
24,80,*,*,*,*,*,*,*,*,*,*,*,*
26,2,*,*,*,*,*,*,*,*,*,*,*,*
26,4,*,*,*,*,*,*,*,*,*,*,*,*
26,6,*,*,*,*,*,*,*,*,*,*,*,*
26,8,*,*,*,*,*,*,*,*,*,*,*,*
26,10,*,*,*,*,*,*,*,*,*,*,*,*
26,12,*,*,*,*,*,*,*,*,*,*,*,*
26,14,*,*,*,*,*,*,*,*,*,*,*,*
26,16,*,*,*,*,*,*,*,*,*,*,*,*
26,18,*,*,*,*,*,*,*,*,*,*,*,*
26,20,*,*,*,*,*,*,*,*,*,*,*,*
26,22,*,*,*,*,*,*,*,*,*,*,*,*
26,24,417.700777,0.060004,417.701692,0.008383,*,*,*,*,*,*,*,*
26,26,447.699486,0.006547,447.698234,0.005117,*,*,*,*,*,*,*,*
26,28,471.762963,0.00069,471.765007,0.000372,*,*,*,*,*,*,*,*
26,30,492.258495,0.000685,492.260225,0.000302,*,*,*,*,*,*,*,*
26,32,509.949197,0.000704,509.950892,0.000343,*,*,*,*,*,*,*,*
26,34,525.350247,0.003464,525.351432,0.003409,*,*,*,*,*,*,*,*
26,36,538.981799,0.014489,538.959098,0.002794,*,*,*,*,*,*,*,*
26,38,550.994354,0.276563,551.19323,0.005017,*,*,*,*,*,*,*,*
26,40,561.939839,0.30264,562.434161,0.004099,*,*,*,*,*,*,*,*
26,42,571.637131,0.698621,571.995872,0.365259,*,*,*,*,*,*,*,*
26,44,*,*,*,*,*,*,*,*,*,*,*,*
26,46,*,*,*,*,*,*,*,*,*,*,*,*
26,48,*,*,*,*,*,*,*,*,*,*,*,*
26,50,*,*,*,*,*,*,*,*,*,*,*,*
26,52,*,*,*,*,*,*,*,*,*,*,*,*
26,54,*,*,*,*,*,*,*,*,*,*,*,*
26,56,*,*,*,*,*,*,*,*,*,*,*,*
26,58,*,*,*,*,*,*,*,*,*,*,*,*
26,60,*,*,*,*,*,*,*,*,*,*,*,*
26,62,*,*,*,*,*,*,*,*,*,*,*,*
26,64,*,*,*,*,*,*,*,*,*,*,*,*
26,66,*,*,*,*,*,*,*,*,*,*,*,*
26,68,*,*,*,*,*,*,*,*,*,*,*,*
26,70,*,*,*,*,*,*,*,*,*,*,*,*
26,72,*,*,*,*,*,*,*,*,*,*,*,*
26,74,*,*,*,*,*,*,*,*,*,*,*,*
26,76,*,*,*,*,*,*,*,*,*,*,*,*
26,78,*,*,*,*,*,*,*,*,*,*,*,*
26,80,*,*,*,*,*,*,*,*,*,*,*,*
28,2,*,*,*,*,*,*,*,*,*,*,*,*
28,4,*,*,*,*,*,*,*,*,*,*,*,*
28,6,*,*,*,*,*,*,*,*,*,*,*,*
28,8,*,*,*,*,*,*,*,*,*,*,*,*
28,10,*,*,*,*,*,*,*,*,*,*,*,*
28,12,*,*,*,*,*,*,*,*,*,*,*,*
28,14,*,*,*,*,*,*,*,*,*,*,*,*
28,16,*,*,*,*,*,*,*,*,*,*,*,*
28,18,*,*,*,*,*,*,*,*,*,*,*,*
28,20,*,*,*,*,*,*,*,*,*,*,*,*
28,22,*,*,*,*,*,*,*,*,*,*,*,*
28,24,*,*,*,*,*,*,*,*,*,*,*,*
28,26,453.15662,0.050004,453.224149,0.004657,*,*,*,*,*,*,*,*
28,28,483.992151,0.011072,483.996016,0.000422,*,*,*,*,*,*,*,*
28,30,506.458807,0.000609,506.459857,0.000373,*,*,*,*,*,*,*,*
28,32,526.845827,0.000607,526.846866,0.000376,*,*,*,*,*,*,*,*
28,34,545.26248,0.000597,545.262707,0.000439,*,*,*,*,*,*,*,*
28,36,561.758297,0.00061,561.757941,0.000475,*,*,*,*,*,*,*,*
28,38,576.807941,0.001397,576.807941,0.001397,*,*,*,*,*,*,*,*
28,40,590.408107,0.002981,590.408106,0.002981,*,*,*,*,*,*,*,*
28,42,602.236797,0.3458,602.300787,0.002144,*,*,*,*,*,*,*,*
28,44,613.169882,0.436425,613.455623,0.002237,*,*,*,*,*,*,*,*
28,46,*,*,*,*,*,*,*,*,*,*,*,*
28,48,*,*,*,*,*,*,*,*,*,*,*,*
28,50,*,*,*,*,*,*,*,*,*,*,*,*
28,52,*,*,*,*,*,*,*,*,*,*,*,*
28,54,*,*,*,*,*,*,*,*,*,*,*,*
28,56,*,*,*,*,*,*,*,*,*,*,*,*
28,58,*,*,*,*,*,*,*,*,*,*,*,*
28,60,*,*,*,*,*,*,*,*,*,*,*,*
28,62,*,*,*,*,*,*,*,*,*,*,*,*
28,64,*,*,*,*,*,*,*,*,*,*,*,*
28,66,*,*,*,*,*,*,*,*,*,*,*,*
28,68,*,*,*,*,*,*,*,*,*,*,*,*
28,70,*,*,*,*,*,*,*,*,*,*,*,*
28,72,*,*,*,*,*,*,*,*,*,*,*,*
28,74,*,*,*,*,*,*,*,*,*,*,*,*
28,76,*,*,*,*,*,*,*,*,*,*,*,*
28,78,*,*,*,*,*,*,*,*,*,*,*,*
28,80,*,*,*,*,*,*,*,*,*,*,*,*
28,82,*,*,*,*,*,*,*,*,*,*,*,*
28,84,*,*,*,*,*,*,*,*,*,*,*,*
28,86,*,*,*,*,*,*,*,*,*,*,*,*
28,88,*,*,*,*,*,*,*,*,*,*,*,*
28,90,*,*,*,*,*,*,*,*,*,*,*,*
28,92,*,*,*,*,*,*,*,*,*,*,*,*
28,94,*,*,*,*,*,*,*,*,*,*,*,*
30,6,*,*,*,*,*,*,*,*,*,*,*,*
30,8,*,*,*,*,*,*,*,*,*,*,*,*
30,10,*,*,*,*,*,*,*,*,*,*,*,*
30,12,*,*,*,*,*,*,*,*,*,*,*,*
30,14,*,*,*,*,*,*,*,*,*,*,*,*
