Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd
62,56,*,*,*,*,*,*,*,*,*,*,*,*
62,58,*,*,*,*,*,*,*,*,*,*,*,*
62,60,*,*,*,*,*,*,*,*,*,*,*,*
62,62,*,*,*,*,*,*,*,*,*,*,*,*
62,64,*,*,*,*,*,*,*,*,*,*,*,*
62,66,*,*,*,*,*,*,*,*,*,*,*,*
62,68,*,*,*,*,*,*,*,*,*,*,*,*
62,70,*,*,*,*,*,*,*,*,*,*,*,*
62,72,*,*,*,*,*,*,*,*,*,*,*,*
62,74,1116.005502,0.012497,1116.005475,0.012497,*,*,*,*,*,*,*,*
62,76,1136.835011,0.011817,1136.834983,0.011817,*,*,*,*,*,*,*,*
62,78,1156.93582,0.012497,1156.935792,0.012497,*,*,*,*,*,*,*,*
62,80,1176.615381,0.005675,1176.608962,0.003079,*,*,*,*,*,*,*,*
62,82,1195.737086,0.002807,1195.730663,0.001554,*,*,*,*,*,*,*,*
62,84,1210.909644,0.003601,1210.904073,0.003092,*,*,*,*,*,*,*,*
62,86,1225.392569,0.002417,1225.386664,0.001367,*,*,*,*,*,*,*,*
62,88,1239.250375,0.002433,1239.244175,0.001274,*,*,*,*,*,*,*,*
62,90,1253.104436,0.002471,1253.098274,0.001212,*,*,*,*,*,*,*,*
62,92,1266.939903,0.002548,1266.933483,0.001462,*,*,*,*,*,*,*,*
62,94,1279.991269,0.009528,1279.981373,0.008546,*,*,*,*,*,*,*,*
62,96,1291.976248,0.078313,1292.013822,0.004892,*,*,*,*,*,*,*,*
62,98,*,*,1303.141008,0.005934,*,*,*,*,*,*,*,*
62,100,*,*,*,*,1313.42984,0.00497,*,*,*,*,*,*
62,102,*,*,*,*,*,*,*,*,*,*,1323.116786,0.004
62,104,*,*,*,*,*,*,*,*,*,*,*,*
62,106,*,*,*,*,*,*,*,*,*,*,*,*
62,108,*,*,*,*,*,*,*,*,*,*,*,*
62,110,*,*,*,*,*,*,*,*,*,*,*,*
62,112,*,*,*,*,*,*,*,*,*,*,*,*
62,114,*,*,*,*,*,*,*,*,*,*,*,*
62,116,*,*,*,*,*,*,*,*,*,*,*,*
62,118,*,*,*,*,*,*,*,*,*,*,*,*
62,120,*,*,*,*,*,*,*,*,*,*,*,*
62,122,*,*,*,*,*,*,*,*,*,*,*,*
62,124,*,*,*,*,*,*,*,*,*,*,*,*
62,126,*,*,*,*,*,*,*,*,*,*,*,*
62,128,*,*,*,*,*,*,*,*,*,*,*,*
62,130,*,*,*,*,*,*,*,*,*,*,*,*
62,132,*,*,*,*,*,*,*,*,*,*,*,*
62,134,*,*,*,*,*,*,*,*,*,*,*,*
62,136,*,*,*,*,*,*,*,*,*,*,*,*
62,138,*,*,*,*,*,*,*,*,*,*,*,*
62,140,*,*,*,*,*,*,*,*,*,*,*,*
62,142,*,*,*,*,*,*,*,*,*,*,*,*
62,144,*,*,*,*,*,*,*,*,*,*,*,*
62,146,*,*,*,*,*,*,*,*,*,*,*,*
62,148,*,*,*,*,*,*,*,*,*,*,*,*
62,150,*,*,*,*,*,*,*,*,*,*,*,*
62,152,*,*,*,*,*,*,*,*,*,*,*,*
62,154,*,*,*,*,*,*,*,*,*,*,*,*
62,156,*,*,*,*,*,*,*,*,*,*,*,*
62,158,*,*,*,*,*,*,*,*,*,*,*,*
62,160,*,*,*,*,*,*,*,*,*,*,*,*
62,162,*,*,*,*,*,*,*,*,*,*,*,*
62,164,*,*,*,*,*,*,*,*,*,*,*,*
62,166,*,*,*,*,*,*,*,*,*,*,*,*
62,168,*,*,*,*,*,*,*,*,*,*,*,*
62,170,*,*,*,*,*,*,*,*,*,*,*,*
62,172,*,*,*,*,*,*,*,*,*,*,*,*
62,174,*,*,*,*,*,*,*,*,*,*,*,*
64,50,*,*,*,*,*,*,*,*,*,*,*,*
64,52,*,*,*,*,*,*,*,*,*,*,*,*
64,54,*,*,*,*,*,*,*,*,*,*,*,*
64,56,*,*,*,*,*,*,*,*,*,*,*,*
64,58,*,*,*,*,*,*,*,*,*,*,*,*
64,60,*,*,*,*,*,*,*,*,*,*,*,*
64,62,*,*,*,*,*,*,*,*,*,*,*,*
64,64,*,*,*,*,*,*,*,*,*,*,*,*
64,66,*,*,*,*,*,*,*,*,*,*,*,*
64,68,*,*,*,*,*,*,*,*,*,*,*,*
64,70,*,*,*,*,*,*,*,*,*,*,*,*
64,72,*,*,*,*,*,*,*,*,*,*,*,*
64,74,*,*,*,*,*,*,*,*,*,*,*,*
64,76,1141.697463,0.027945,1141.697462,0.027945,*,*,*,*,*,*,*,*
64,78,1163.017341,0.027945,1163.017341,0.027945,*,*,*,*,*,*,*,*
64,80,1183.959966,0.027945,1183.959966,0.027945,*,*,*,*,*,*,*,*
64,82,1204.436277,0.004707,1204.428881,0.004108,*,*,*,*,*,*,*,*
64,84,1220.761564,0.002807,1220.755063,0.001554,*,*,*,*,*,*,*,*
64,86,1236.397139,0.006317,1236.392304,0.006076,*,*,*,*,*,*,*,*
64,88,1251.485211,0.002513,1251.477921,0.001206,*,*,*,*,*,*,*,*
64,90,1266.626862,0.002504,1266.619595,0.001197,*,*,*,*,*,*,*,*
64,92,1281.598474,0.002504,1281.591191,0.00119,*,*,*,*,*,*,*,*
64,94,1295.895664,0.002505,1295.888459,0.001189,*,*,*,*,*,*,*,*
64,96,1309.290175,0.002556,1309.28329,0.001278,*,*,*,*,*,*,*,*
64,98,1321.771474,0.00458,1321.764585,0.004009,*,*,*,*,*,*,*,*
64,100,*,*,*,*,1333.32056,0.00289,*,*,*,*,*,*
64,102,*,*,*,*,1344.156636,0.00367,*,*,*,*,*,*
64,104,*,*,*,*,*,*,*,*,*,*,*,*
64,106,*,*,*,*,*,*,*,*,*,*,*,*
64,108,*,*,*,*,*,*,*,*,*,*,*,*
64,110,*,*,*,*,*,*,*,*,*,*,*,*
64,112,*,*,*,*,*,*,*,*,*,*,*,*
64,114,*,*,*,*,*,*,*,*,*,*,*,*
64,116,*,*,*,*,*,*,*,*,*,*,*,*
64,118,*,*,*,*,*,*,*,*,*,*,*,*
64,120,*,*,*,*,*,*,*,*,*,*,*,*
64,122,*,*,*,*,*,*,*,*,*,*,*,*
64,124,*,*,*,*,*,*,*,*,*,*,*,*
64,126,*,*,*,*,*,*,*,*,*,*,*,*
64,128,*,*,*,*,*,*,*,*,*,*,*,*
64,130,*,*,*,*,*,*,*,*,*,*,*,*
64,132,*,*,*,*,*,*,*,*,*,*,*,*
64,134,*,*,*,*,*,*,*,*,*,*,*,*
64,136,*,*,*,*,*,*,*,*,*,*,*,*
64,138,*,*,*,*,*,*,*,*,*,*,*,*
64,140,*,*,*,*,*,*,*,*,*,*,*,*
64,142,*,*,*,*,*,*,*,*,*,*,*,*
64,144,*,*,*,*,*,*,*,*,*,*,*,*
64,146,*,*,*,*,*,*,*,*,*,*,*,*
64,148,*,*,*,*,*,*,*,*,*,*,*,*
64,150,*,*,*,*,*,*,*,*,*,*,*,*
64,152,*,*,*,*,*,*,*,*,*,*,*,*
64,154,*,*,*,*,*,*,*,*,*,*,*,*
64,156,*,*,*,*,*,*,*,*,*,*,*,*
64,158,*,*,*,*,*,*,*,*,*,*,*,*
64,160,*,*,*,*,*,*,*,*,*,*,*,*
64,162,*,*,*,*,*,*,*,*,*,*,*,*
64,164,*,*,*,*,*,*,*,*,*,*,*,*
64,166,*,*,*,*,*,*,*,*,*,*,*,*
64,168,*,*,*,*,*,*,*,*,*,*,*,*
64,170,*,*,*,*,*,*,*,*,*,*,*,*
64,172,*,*,*,*,*,*,*,*,*,*,*,*
64,174,*,*,*,*,*,*,*,*,*,*,*,*
64,176,*,*,*,*,*,*,*,*,*,*,*,*
64,178,*,*,*,*,*,*,*,*,*,*,*,*
66,54,*,*,*,*,*,*,*,*,*,*,*,*
66,56,*,*,*,*,*,*,*,*,*,*,*,*
66,58,*,*,*,*,*,*,*,*,*,*,*,*
66,60,*,*,*,*,*,*,*,*,*,*,*,*
66,62,*,*,*,*,*,*,*,*,*,*,*,*
66,64,*,*,*,*,*,*,*,*,*,*,*,*
66,66,*,*,*,*,*,*,*,*,*,*,*,*
66,68,*,*,*,*,*,*,*,*,*,*,*,*
66,70,*,*,*,*,*,*,*,*,*,*,*,*
66,72,*,*,*,*,*,*,*,*,*,*,*,*
66,74,*,*,*,*,*,*,*,*,*,*,*,*
66,76,*,*,*,*,*,*,*,*,*,*,*,*
66,78,1167.220331,0.030739,1167.205879,0.007173,*,*,*,*,*,*,*,*
66,80,1189.332568,0.027112,1189.33335,0.006695,*,*,*,*,*,*,*,*
66,82,1210.780564,0.010583,1210.780618,0.008724,*,*,*,*,*,*,*,*
66,84,1228.380658,0.00491,1228.373303,0.004348,*,*,*,*,*,*,*,*
66,86,1245.330791,0.005181,1245.324212,0.004624,*,*,*,*,*,*,*,*
66,88,1261.74714,0.007633,1261.742882,0.007445,*,*,*,*,*,*,*,*
66,90,1278.02144,0.006589,1278.020575,0.001194,*,*,*,*,*,*,*,*
66,92,1294.046356,0.003397,1294.041596,0.002365,*,*,*,*,*,*,*,*
66,94,1309.454946,0.002536,1309.449612,0.000772,*,*,*,*,*,*,*,*
66,96,1324.106326,0.002535,1324.100996,0.000767,*,*,*,*,*,*,*,*
66,98,1338.035448,0.002534,1338.030119,0.000767,*,*,*,*,*,*,*,*
66,100,1350.794908,0.002566,1350.789579,0.000867,*,*,*,*,*,*,*,*
66,102,1362.911601,0.140027,1362.906992,0.140009,*,*,*,*,*,*,*,*
66,104,*,*,*,*,*,*,*,*,*,*,*,*
66,106,*,*,*,*,*,*,*,*,*,*,*,*
66,108,*,*,*,*,*,*,*,*,*,*,*,*
66,110,*,*,*,*,*,*,*,*,*,*,*,*
66,112,*,*,*,*,*,*,*,*,*,*,*,*
66,114,*,*,*,*,*,*,*,*,*,*,*,*
66,116,*,*,*,*,*,*,*,*,*,*,*,*
66,118,*,*,*,*,*,*,*,*,*,*,*,*
66,120,*,*,*,*,*,*,*,*,*,*,*,*
66,122,*,*,*,*,*,*,*,*,*,*,*,*
66,124,*,*,*,*,*,*,*,*,*,*,*,*
66,126,*,*,*,*,*,*,*,*,*,*,*,*
66,128,*,*,*,*,*,*,*,*,*,*,*,*
66,130,*,*,*,*,*,*,*,*,*,*,*,*
66,132,*,*,*,*,*,*,*,*,*,*,*,*
66,134,*,*,*,*,*,*,*,*,*,*,*,*
66,136,*,*,*,*,*,*,*,*,*,*,*,*
66,138,*,*,*,*,*,*,*,*,*,*,*,*
66,140,*,*,*,*,*,*,*,*,*,*,*,*
66,142,*,*,*,*,*,*,*,*,*,*,*,*
66,144,*,*,*,*,*,*,*,*,*,*,*,*
66,146,*,*,*,*,*,*,*,*,*,*,*,*
66,148,*,*,*,*,*,*,*,*,*,*,*,*
66,150,*,*,*,*,*,*,*,*,*,*,*,*
66,152,*,*,*,*,*,*,*,*,*,*,*,*
66,154,*,*,*,*,*,*,*,*,*,*,*,*
66,156,*,*,*,*,*,*,*,*,*,*,*,*
66,158,*,*,*,*,*,*,*,*,*,*,*,*
66,160,*,*,*,*,*,*,*,*,*,*,*,*
66,162,*,*,*,*,*,*,*,*,*,*,*,*
66,164,*,*,*,*,*,*,*,*,*,*,*,*
66,166,*,*,*,*,*,*,*,*,*,*,*,*
66,168,*,*,*,*,*,*,*,*,*,*,*,*
66,170,*,*,*,*,*,*,*,*,*,*,*,*
66,172,*,*,*,*,*,*,*,*,*,*,*,*
66,174,*,*,*,*,*,*,*,*,*,*,*,*
66,176,*,*,*,*,*,*,*,*,*,*,*,*
66,178,*,*,*,*,*,*,*,*,*,*,*,*
66,180,*,*,*,*,*,*,*,*,*,*,*,*
66,182,*,*,*,*,*,*,*,*,*,*,*,*
66,184,*,*,*,*,*,*,*,*,*,*,*,*
66,186,*,*,*,*,*,*,*,*,*,*,*,*
68,56,*,*,*,*,*,*,*,*,*,*,*,*
68,58,*,*,*,*,*,*,*,*,*,*,*,*
68,60,*,*,*,*,*,*,*,*,*,*,*,*
68,62,*,*,*,*,*,*,*,*,*,*,*,*
68,64,*,*,*,*,*,*,*,*,*,*,*,*
68,66,*,*,*,*,*,*,*,*,*,*,*,*
68,68,*,*,*,*,*,*,*,*,*,*,*,*
68,70,*,*,*,*,*,*,*,*,*,*,*,*
68,72,*,*,*,*,*,*,*,*,*,*,*,*
68,74,*,*,*,*,*,*,*,*,*,*,*,*
68,76,*,*,*,*,*,*,*,*,*,*,*,*
68,78,*,*,1169.535778,0.006705,*,*,*,*,*,*,*,*
68,80,*,*,1192.835391,0.010246,*,*,*,*,*,*,*,*
68,82,1215.331924,0.017201,1215.33035,0.017195,*,*,*,*,*,*,*,*
68,84,1234.141846,0.010706,1234.14205,0.00883,*,*,*,*,*,*,*,*
68,86,1252.396466,0.00547,1252.389329,0.004986,*,*,*,*,*,*,*,*
68,88,1270.139766,0.024428,1270.138654,0.024629,*,*,*,*,*,*,*,*
68,90,1287.37339,0.025219,1287.373389,0.025219,*,*,*,*,*,*,*,*
68,92,1304.270704,0.024428,1304.276444,0.024254,*,*,*,*,*,*,*,*
68,94,1320.697472,0.003467,1320.689371,0.000822,*,*,*,*,*,*,*,*
68,96,1336.44705,0.00307,1336.440378,0.000775,*,*,*,*,*,*,*,*
68,98,1351.571719,0.002514,1351.566166,0.001165,*,*,*,*,*,*,*,*
68,100,1365.779491,0.002512,1365.773931,0.001168,*,*,*,*,*,*,*,*
68,102,1379.040001,0.002754,1379.034076,0.001546,*,*,*,*,*,*,*,*
68,104,1391.557448,0.004618,1391.551643,0.004008,*,*,*,*,*,*,*,*
68,106,*,*,*,*,*,*,*,*,*,*,*,*
68,108,*,*,*,*,*,*,*,*,*,*,*,*
68,110,*,*,*,*,*,*,*,*,*,*,*,*
68,112,*,*,*,*,*,*,*,*,*,*,*,*
68,114,*,*,*,*,*,*,*,*,*,*,*,*
68,116,*,*,*,*,*,*,*,*,*,*,*,*
68,118,*,*,*,*,*,*,*,*,*,*,*,*
68,120,*,*,*,*,*,*,*,*,*,*,*,*
68,122,*,*,*,*,*,*,*,*,*,*,*,*
68,124,*,*,*,*,*,*,*,*,*,*,*,*
68,126,*,*,*,*,*,*,*,*,*,*,*,*
68,128,*,*,*,*,*,*,*,*,*,*,*,*
68,130,*,*,*,*,*,*,*,*,*,*,*,*
68,132,*,*,*,*,*,*,*,*,*,*,*,*
68,134,*,*,*,*,*,*,*,*,*,*,*,*
68,136,*,*,*,*,*,*,*,*,*,*,*,*
68,138,*,*,*,*,*,*,*,*,*,*,*,*
68,140,*,*,*,*,*,*,*,*,*,*,*,*
68,142,*,*,*,*,*,*,*,*,*,*,*,*
68,144,*,*,*,*,*,*,*,*,*,*,*,*
68,146,*,*,*,*,*,*,*,*,*,*,*,*
68,148,*,*,*,*,*,*,*,*,*,*,*,*
68,150,*,*,*,*,*,*,*,*,*,*,*,*
68,152,*,*,*,*,*,*,*,*,*,*,*,*
68,154,*,*,*,*,*,*,*,*,*,*,*,*
68,156,*,*,*,*,*,*,*,*,*,*,*,*
68,158,*,*,*,*,*,*,*,*,*,*,*,*
68,160,*,*,*,*,*,*,*,*,*,*,*,*
68,162,*,*,*,*,*,*,*,*,*,*,*,*
68,164,*,*,*,*,*,*,*,*,*,*,*,*
68,166,*,*,*,*,*,*,*,*,*,*,*,*
68,168,*,*,*,*,*,*,*,*,*,*,*,*
68,170,*,*,*,*,*,*,*,*,*,*,*,*
68,172,*,*,*,*,*,*,*,*,*,*,*,*
68,174,*,*,*,*,*,*,*,*,*,*,*,*
68,176,*,*,*,*,*,*,*,*,*,*,*,*
68,178,*,*,*,*,*,*,*,*,*,*,*,*
68,180,*,*,*,*,*,*,*,*,*,*,*,*
68,182,*,*,*,*,*,*,*,*,*,*,*,*
68,184,*,*,*,*,*,*,*,*,*,*,*,*
68,186,*,*,*,*,*,*,*,*,*,*,*,*
68,188,*,*,*,*,*,*,*,*,*,*,*,*
68,190,*,*,*,*,*,*,*,*,*,*,*,*
68,192,*,*,*,*,*,*,*,*,*,*,*,*
70,60,*,*,*,*,*,*,*,*,*,*,*,*
70,62,*,*,*,*,*,*,*,*,*,*,*,*
70,64,*,*,*,*,*,*,*,*,*,*,*,*
70,66,*,*,*,*,*,*,*,*,*,*,*,*
70,68,*,*,*,*,*,*,*,*,*,*,*,*
70,70,*,*,*,*,*,*,*,*,*,*,*,*
70,72,*,*,*,*,*,*,*,*,*,*,*,*
70,74,*,*,*,*,*,*,*,*,*,*,*,*
70,76,*,*,*,*,*,*,*,*,*,*,*,*
70,78,*,*,*,*,*,*,*,*,*,*,*,*
70,80,*,*,*,*,*,*,*,*,*,*,*,*
70,82,1218.382581,0.208423,1218.347388,0.149708,*,*,*,*,*,*,*,*
70,84,1238.153378,0.017288,1238.151726,0.017281,*,*,*,*,*,*,*,*
70,86,1257.626769,0.011287,1257.628,0.009308,*,*,*,*,*,*,*,*
70,88,1276.519731,0.008203,1276.515151,0.007994,*,*,*,*,*,*,*,*
70,90,1294.817167,0.016507,1294.810256,0.007233,*,*,*,*,*,*,*,*
70,92,1312.621713,0.015993,1312.616533,0.015359,*,*,*,*,*,*,*,*
70,94,1329.955538,0.015993,1329.95024,0.015369,*,*,*,*,*,*,*,*
70,96,1346.663939,0.008263,1346.671198,0.007101,*,*,*,*,*,*,*,*
70,98,1362.792739,0.004391,1362.799994,0.001195,*,*,*,*,*,*,*,*
70,100,1378.129686,0.002449,1378.124648,1e-05,*,*,*,*,*,*,*,*
70,102,1392.763645,0.002398,1392.758811,1.4e-05,*,*,*,*,*,*,*,*
70,104,1406.595599,0.002388,1406.590513,1.1e-05,*,*,*,*,*,*,*,*
70,106,1419.28277,0.002571,1419.279951,1.5e-05,*,*,*,*,*,*,*,*
70,108,1431.629569,0.010325,1431.626747,0.01,*,*,*,*,*,*,*,*
70,110,*,*,*,*,*,*,*,*,*,*,*,*
70,112,*,*,*,*,*,*,*,*,*,*,*,*
70,114,*,*,*,*,*,*,*,*,*,*,*,*
70,116,*,*,*,*,*,*,*,*,*,*,*,*
70,118,*,*,*,*,*,*,*,*,*,*,*,*
70,120,*,*,*,*,*,*,*,*,*,*,*,*
70,122,*,*,*,*,*,*,*,*,*,*,*,*
70,124,*,*,*,*,*,*,*,*,*,*,*,*
70,126,*,*,*,*,*,*,*,*,*,*,*,*
70,128,*,*,*,*,*,*,*,*,*,*,*,*
70,130,*,*,*,*,*,*,*,*,*,*,*,*
70,132,*,*,*,*,*,*,*,*,*,*,*,*
70,134,*,*,*,*,*,*,*,*,*,*,*,*
70,136,*,*,*,*,*,*,*,*,*,*,*,*
70,138,*,*,*,*,*,*,*,*,*,*,*,*
70,140,*,*,*,*,*,*,*,*,*,*,*,*
70,142,*,*,*,*,*,*,*,*,*,*,*,*
70,144,*,*,*,*,*,*,*,*,*,*,*,*
70,146,*,*,*,*,*,*,*,*,*,*,*,*
70,148,*,*,*,*,*,*,*,*,*,*,*,*
70,150,*,*,*,*,*,*,*,*,*,*,*,*
70,152,*,*,*,*,*,*,*,*,*,*,*,*
70,154,*,*,*,*,*,*,*,*,*,*,*,*
70,156,*,*,*,*,*,*,*,*,*,*,*,*
70,158,*,*,*,*,*,*,*,*,*,*,*,*
70,160,*,*,*,*,*,*,*,*,*,*,*,*
70,162,*,*,*,*,*,*,*,*,*,*,*,*
70,164,*,*,*,*,*,*,*,*,*,*,*,*
70,166,*,*,*,*,*,*,*,*,*,*,*,*
70,168,*,*,*,*,*,*,*,*,*,*,*,*
70,170,*,*,*,*,*,*,*,*,*,*,*,*
70,172,*,*,*,*,*,*,*,*,*,*,*,*
70,174,*,*,*,*,*,*,*,*,*,*,*,*
70,176,*,*,*,*,*,*,*,*,*,*,*,*
70,178,*,*,*,*,*,*,*,*,*,*,*,*
70,180,*,*,*,*,*,*,*,*,*,*,*,*
70,182,*,*,*,*,*,*,*,*,*,*,*,*
70,184,*,*,*,*,*,*,*,*,*,*,*,*
70,186,*,*,*,*,*,*,*,*,*,*,*,*
70,188,*,*,*,*,*,*,*,*,*,*,*,*
70,190,*,*,*,*,*,*,*,*,*,*,*,*
70,192,*,*,*,*,*,*,*,*,*,*,*,*
70,194,*,*,*,*,*,*,*,*,*,*,*,*
70,196,*,*,*,*,*,*,*,*,*,*,*,*
70,198,*,*,*,*,*,*,*,*,*,*,*,*
70,200,*,*,*,*,*,*,*,*,*,*,*,*
70,202,*,*,*,*,*,*,*,*,*,*,*,*
72,62,*,*,*,*,*,*,*,*,*,*,*,*
72,64,*,*,*,*,*,*,*,*,*,*,*,*
72,66,*,*,*,*,*,*,*,*,*,*,*,*
72,68,*,*,*,*,*,*,*,*,*,*,*,*
72,70,*,*,*,*,*,*,*,*,*,*,*,*
72,72,*,*,*,*,*,*,*,*,*,*,*,*
72,74,*,*,*,*,*,*,*,*,*,*,*,*
72,76,*,*,*,*,*,*,*,*,*,*,*,*
72,78,*,*,*,*,*,*,*,*,*,*,*,*
72,80,*,*,*,*,*,*,*,*,*,*,*,*
72,82,*,*,*,*,*,*,*,*,*,*,*,*
72,84,1240.64978,0.208458,1240.614509,0.149757,*,*,*,*,*,*,*,*
72,86,1261.044367,0.017501,1261.042638,0.017494,*,*,*,*,*,*,*,*
72,88,1281.020089,0.011583,1281.021827,0.009541,*,*,*,*,*,*,*,*
72,90,1300.398625,0.009598,1300.394528,0.008968,*,*,*,*,*,*,*,*
72,92,1319.189697,0.020403,1319.186661,0.01582,*,*,*,*,*,*,*,*
72,94,1337.369776,0.027945,1337.369775,0.027945,*,*,*,*,*,*,*,*
72,96,1355.013979,0.027945,1355.013979,0.027945,*,*,*,*,*,*,*,*
72,98,1372.049918,0.027945,1372.049917,0.027945,*,*,*,*,*,*,*,*
72,100,1388.342243,0.024428,1388.340925,0.024428,*,*,*,*,*,*,*,*
72,102,1403.927961,0.002806,1403.925816,0.002259,*,*,*,*,*,*,*,*
72,104,1418.80148,0.002216,1418.800292,0.001481,*,*,*,*,*,*,*,*
72,106,1432.810868,0.002144,1432.801842,0.001412,*,*,*,*,*,*,*,*
72,108,1446.29764,0.002147,1446.28859,0.001419,*,*,*,*,*,*,*,*
72,110,1458.710441,0.006373,1458.701386,0.006165,*,*,*,*,*,*,*,*
72,112,1470.295818,0.039708,1470.293887,0.039706,*,*,*,*,*,*,*,*
72,114,*,*,1481.36136,0.051232,*,*,*,*,*,*,*,*
72,116,*,*,*,*,*,*,*,*,*,*,*,*
72,118,*,*,*,*,*,*,*,*,*,*,*,*
72,120,*,*,*,*,*,*,*,*,*,*,*,*
72,122,*,*,*,*,*,*,*,*,*,*,*,*
72,124,*,*,*,*,*,*,*,*,*,*,*,*
72,126,*,*,*,*,*,*,*,*,*,*,*,*
72,128,*,*,*,*,*,*,*,*,*,*,*,*
72,130,*,*,*,*,*,*,*,*,*,*,*,*
72,132,*,*,*,*,*,*,*,*,*,*,*,*
72,134,*,*,*,*,*,*,*,*,*,*,*,*
72,136,*,*,*,*,*,*,*,*,*,*,*,*
72,138,*,*,*,*,*,*,*,*,*,*,*,*
72,140,*,*,*,*,*,*,*,*,*,*,*,*
72,142,*,*,*,*,*,*,*,*,*,*,*,*
72,144,*,*,*,*,*,*,*,*,*,*,*,*
72,146,*,*,*,*,*,*,*,*,*,*,*,*
72,148,*,*,*,*,*,*,*,*,*,*,*,*
72,150,*,*,*,*,*,*,*,*,*,*,*,*
72,152,*,*,*,*,*,*,*,*,*,*,*,*
72,154,*,*,*,*,*,*,*,*,*,*,*,*
72,156,*,*,*,*,*,*,*,*,*,*,*,*
72,158,*,*,*,*,*,*,*,*,*,*,*,*
72,160,*,*,*,*,*,*,*,*,*,*,*,*
72,162,*,*,*,*,*,*,*,*,*,*,*,*
72,164,*,*,*,*,*,*,*,*,*,*,*,*
72,166,*,*,*,*,*,*,*,*,*,*,*,*
72,168,*,*,*,*,*,*,*,*,*,*,*,*
72,170,*,*,*,*,*,*,*,*,*,*,*,*
72,172,*,*,*,*,*,*,*,*,*,*,*,*
72,174,*,*,*,*,*,*,*,*,*,*,*,*
72,176,*,*,*,*,*,*,*,*,*,*,*,*
72,178,*,*,*,*,*,*,*,*,*,*,*,*
72,180,*,*,*,*,*,*,*,*,*,*,*,*
72,182,*,*,*,*,*,*,*,*,*,*,*,*
72,184,*,*,*,*,*,*,*,*,*,*,*,*
72,186,*,*,*,*,*,*,*,*,*,*,*,*
72,188,*,*,*,*,*,*,*,*,*,*,*,*
72,190,*,*,*,*,*,*,*,*,*,*,*,*
72,192,*,*,*,*,*,*,*,*,*,*,*,*
72,194,*,*,*,*,*,*,*,*,*,*,*,*
72,196,*,*,*,*,*,*,*,*,*,*,*,*
72,198,*,*,*,*,*,*,*,*,*,*,*,*
72,200,*,*,*,*,*,*,*,*,*,*,*,*
72,202,*,*,*,*,*,*,*,*,*,*,*,*
74,64,*,*,*,*,*,*,*,*,*,*,*,*
74,66,*,*,*,*,*,*,*,*,*,*,*,*
74,68,*,*,*,*,*,*,*,*,*,*,*,*
74,70,*,*,*,*,*,*,*,*,*,*,*,*
74,72,*,*,*,*,*,*,*,*,*,*,*,*
74,74,*,*,*,*,*,*,*,*,*,*,*,*
74,76,*,*,*,*,*,*,*,*,*,*,*,*
74,78,*,*,*,*,*,*,*,*,*,*,*,*
74,80,*,*,*,*,*,*,*,*,*,*,*,*
74,82,*,*,*,*,*,*,*,*,*,*,*,*
74,84,*,*,*,*,*,*,*,*,*,*,*,*
74,86,1262.880022,0.208508,1262.844673,0.149827,*,*,*,*,*,*,*,*
74,88,1283.662791,0.01771,1283.660061,0.017658,*,*,*,*,*,*,*,*
74,90,1304.037237,0.011756,1304.039249,0.009674,*,*,*,*,*,*,*,*
74,92,1323.837969,0.010398,1323.834156,0.009478,*,*,*,*,*,*,*,*
74,94,1342.978953,0.016283,1342.98187,0.013271,*,*,*,*,*,*,*,*
74,96,1361.524761,0.015127,1361.522229,0.013195,*,*,*,*,*,*,*,*
74,98,1379.471219,0.027945,1379.471219,0.027945,*,*,*,*,*,*,*,*
74,100,1396.743757,0.027945,1396.743757,0.027945,*,*,*,*,*,*,*,*
74,102,1413.300907,0.027945,1413.300907,0.027945,*,*,*,*,*,*,*,*
74,104,1429.217902,0.015284,1429.208876,0.015199,*,*,*,*,*,*,*,*
74,106,1444.589053,0.003931,1444.580691,0.001436,*,*,*,*,*,*,*,*
74,108,1459.33473,0.000828,1459.333272,0.000738,*,*,*,*,*,*,*,*
74,110,1472.937152,0.000859,1472.935221,0.000731,*,*,*,*,*,*,*,*
74,112,1485.882025,0.001749,1485.881011,0.001212,*,*,*,*,*,*,*,*
74,114,1498.182269,0.003317,1498.18293,0.003089,*,*,*,*,*,*,*,*
74,116,1509.954081,0.164848,1510.040068,0.039726,*,*,*,*,*,*,*,*
74,118,*,*,*,*,*,*,*,*,*,*,*,*
74,120,*,*,*,*,*,*,*,*,*,*,*,*
74,122,*,*,*,*,*,*,*,*,*,*,*,*
74,124,*,*,*,*,*,*,*,*,*,*,*,*
74,126,*,*,*,*,*,*,*,*,*,*,*,*
74,128,*,*,*,*,*,*,*,*,*,*,*,*
74,130,*,*,*,*,*,*,*,*,*,*,*,*
74,132,*,*,*,*,*,*,*,*,*,*,*,*
74,134,*,*,*,*,*,*,*,*,*,*,*,*
74,136,*,*,*,*,*,*,*,*,*,*,*,*
74,138,*,*,*,*,*,*,*,*,*,*,*,*
74,140,*,*,*,*,*,*,*,*,*,*,*,*
74,142,*,*,*,*,*,*,*,*,*,*,*,*
74,144,*,*,*,*,*,*,*,*,*,*,*,*
74,146,*,*,*,*,*,*,*,*,*,*,*,*
